,accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
0,1860942,Lepidoptera,Adelidae,Nemophora,Nemophora aurisparsella,,Nemophora aurisparsella,Nemophora aurisparsella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1,1860786,Lepidoptera,Adelidae,Nemophora,Nemophora decisella,"Walker, 1863",Nemophora decisella,Nemophora decisella,99,ACCEPTED,EXACT,SPECIES,London06October2023,20
2,1830702,Lepidoptera,Attevidae,Atteva,Atteva fabriciella,,Atteva fabriciella,Atteva fabriciella,99,ACCEPTED,EXACT,SPECIES,London06October2023,12
3,9004359,Lepidoptera,Attevidae,Atteva,Atteva wallengreni,,Atteva wallengreni,Atteva wallengreni,99,ACCEPTED,EXACT,SPECIES,London06October2023,52
4,11537408,Lepidoptera,Bombycidae,Gunda,Gunda subnotata,"Walker,1859",Gunda subnotata,Gunda subnotata,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
5,1868409,Lepidoptera,Bombycidae,Ocinara,Ocinara albicollis,,Ocinara albicollis,Ocinara albicollis,99,ACCEPTED,EXACT,SPECIES,London06October2023,58
6,1868499,Lepidoptera,Bombycidae,Penicillifera,Penicillifera apicalis,,Penicillifera apicalis,Penicillifera apicalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,61
7,4702564,Lepidoptera,Bombycidae,Trilocha,Trilocha varians,"Walker, 1865",Trilocha varians,Trilocha varians,99,ACCEPTED,EXACT,SPECIES,London06October2023,250
8,6217651,Lepidoptera,Brachodidae,Phycodes,Nigilgia anactis,,Nigilgia anactis,Phycodes limata,99,SYNONYM,EXACT,SPECIES,London06October2023,18
9,5141344,Lepidoptera,Callidulidae,Tetragonus,Tetragonus catamitus,"Geyer,1832",Tetragonus catamitus,Tetragonus catamitus,99,ACCEPTED,EXACT,SPECIES,London06October2023,298
10,11560272,Lepidoptera,Callidulidae,Tetragonus,Tetragonus lycaenoides,,Tetragonus lycaenoides,Tetragonus lycaenoides,99,ACCEPTED,EXACT,SPECIES,London06October2023,24
11,5123489,Lepidoptera,Choreutidae,Anthophila,Choreutis amethystodes,,Choreutis amethystodes,Anthophila amethystodes,99,SYNONYM,EXACT,SPECIES,London06October2023,135
12,5880040,Lepidoptera,Choreutidae,Choreutis,Choreutis basalis,,Choreutis basalis,Choreutis basalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,277
13,5123523,Lepidoptera,Choreutidae,Anthophila,Choreutis emplecta,,Choreutis emplecta,Anthophila emplecta,99,SYNONYM,EXACT,SPECIES,London06October2023,109
14,5880041,Lepidoptera,Choreutidae,Choreutis,Choreutis ophiosema,"Lower, 1896",Choreutis ophiosema,Choreutis ophiosema,99,ACCEPTED,EXACT,SPECIES,London06October2023,126
15,6132546,Lepidoptera,Choreutidae,Choreutis,Choreutis orthogona,"Meyrick, 1886",Choreutis orthogona,Choreutis orthogona,99,ACCEPTED,EXACT,SPECIES,London06October2023,40
16,10361029,Lepidoptera,Choreutidae,Choreutis,Choreutis periploca,,Choreutis periploca,Choreutis periploca,99,ACCEPTED,EXACT,SPECIES,London06October2023,62
17,5123419,Lepidoptera,Choreutidae,Choreutis,Choreutis sexfasciella,,Choreutis sexfasciella,Choreutis sexfasciella,99,ACCEPTED,EXACT,SPECIES,London06October2023,99
18,5123485,Lepidoptera,Choreutidae,Anthophila,Choreutis xanthogramma,,Choreutis xanthogramma,Anthophila xanthogramma,99,SYNONYM,EXACT,SPECIES,London06October2023,86
19,1860261,Lepidoptera,Choreutidae,Saptha,Saptha beryllitis,"Meyrick,1910",Saptha beryllitis,Saptha pretiosa,99,SYNONYM,EXACT,SPECIES,London06October2023,183
20,1860259,Lepidoptera,Choreutidae,Saptha,Saptha exanthista,"Meyrick,1910",Saptha exanthista,Saptha exanthista,99,ACCEPTED,EXACT,SPECIES,London06October2023,62
21,9755262,Lepidoptera,Cosmopterigidae,Gisilia,Gisilia thoracista,,Gisilia thoracista,Gisilia thoracista,99,ACCEPTED,EXACT,SPECIES,London06October2023,113
22,1843490,Lepidoptera,Cosmopterigidae,Labdia,Labdia stibogramma,"Meyrick,1924",Labdia stibogramma,Labdia stibogramma,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
23,1843319,Lepidoptera,Cosmopterigidae,Macrobathra,Macrobathra hedrastis,,Macrobathra hedrastis,Macrobathra hedrastis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
24,11714817,Lepidoptera,Cossidae,Bergaris,Bergaris lutescens,"Roepke,1957",Bergaris lutescens,Bergaris lutescens,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
25,10183605,Lepidoptera,Cossidae,Bergaris,Bergaris malayica,,Bergaris malayica,Bergaris malayica,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
26,8008237,Lepidoptera,Cossidae,Duomitus,Duomitus ceramica,"Walker, 1865",Duomitus ceramica,Duomitus ceramicus,97,ACCEPTED,FUZZY,SPECIES,London06October2023,47
27,7933193,Lepidoptera,Cossidae,Neurozerra,Neurozerra conferta,,Neurozerra conferta,Neurozerra conferta,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
28,8332109,Lepidoptera,Cossidae,Panau,Panau adusta,,Panau adusta,Panau adusta,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
29,9943276,Lepidoptera,Cossidae,Panau,Panau quarlesi,,Panau quarlesi,Panau quarlesi,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
30,7879559,Lepidoptera,Cossidae,Zeurrora,Zeuzera indica,,Zeuzera indica,Zeurrora indica,99,SYNONYM,EXACT,SPECIES,London06October2023,17
31,1872359,Lepidoptera,Crambidae,Cataclysta,Cataclysta angulata,"Moore, 1885",Cataclysta angulata,Cataclysta angulata,99,ACCEPTED,EXACT,SPECIES,London06October2023,29
32,1884132,Lepidoptera,Crambidae,Nymphula,Elophila manilensis,"Hampson, 1917",Elophila manilensis,Nymphula manilensis,99,SYNONYM,EXACT,SPECIES,London06October2023,0
33,1887538,Lepidoptera,Crambidae,Eristena,Eristena mangalis,,Eristena mangalis,Eristena mangalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
34,1890261,Lepidoptera,Crambidae,Nymphicula,Nymphicula blandialis,,Nymphicula blandialis,Nymphicula blandialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,7
35,1880482,Lepidoptera,Crambidae,Paracataclysta,Paracataclysta fuscalis,"Hampson, 1893",Paracataclysta fuscalis,Paracataclysta fuscalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,14
36,1884428,Lepidoptera,Crambidae,Parapoynx,Parapoynx allionealis,,Parapoynx allionealis,Parapoynx allionealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
37,1884441,Lepidoptera,Crambidae,Parapoynx,Parapoynx bilinealis,,Parapoynx bilinealis,Parapoynx bilinealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,25
38,1884461,Lepidoptera,Crambidae,Parapoynx,Parapoynx crisonalis,,Parapoynx crisonalis,Parapoynx crisonalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,208
39,1884479,Lepidoptera,Crambidae,Parapoynx,Parapoynx diminutalis,"Snellen,1880",Parapoynx diminutalis,Parapoynx diminutalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,848
40,1884437,Lepidoptera,Crambidae,Parapoynx,Parapoynx fluctuosalis,,Parapoynx fluctuosalis,Parapoynx fluctuosalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,177
41,1884449,Lepidoptera,Crambidae,Parapoynx,Parapoynx stagnalis,"Zeller, 1852",Parapoynx stagnalis,Parapoynx stagnalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,202
42,1884434,Lepidoptera,Crambidae,Parapoynx,Parapoynx villidalis,,Parapoynx villidalis,Parapoynx villidalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,61
43,1885569,Lepidoptera,Crambidae,Strepsinoma,Strepsinoma croesusalis,,Strepsinoma croesusalis,Strepsinoma croesusalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,87
44,5127158,Lepidoptera,Crambidae,Symphonia,Symphonia multipictalis,,Symphonia multipictalis,Symphonia multipictalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
45,1890218,Lepidoptera,Crambidae,Calamotropha,Calamotropha obliterans,,Calamotropha obliterans,Calamotropha obliterans,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
46,1881515,Lepidoptera,Crambidae,Culladia,Culladia hastiferalis,"Walker,1865",Culladia hastiferalis,Culladia hastiferalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,82
47,1891201,Lepidoptera,Crambidae,Euchromius,Euchromius pygmaea,,Euchromius pygmaea,Euchromius pygmaea,99,ACCEPTED,EXACT,SPECIES,London06October2023,3
48,1884628,Lepidoptera,Crambidae,Glaucocharis,Glaucocharis margretella,,Glaucocharis margretella,Glaucocharis margretella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
49,1884560,Lepidoptera,Crambidae,Glaucocharis,Glaucocharis subalbilinealis,,Glaucocharis subalbilinealis,Glaucocharis subalbilinealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
50,1884671,Lepidoptera,Crambidae,Erpis,Erpis macularis,,Erpis macularis,Erpis macularis,99,ACCEPTED,EXACT,SPECIES,London06October2023,33
51,1879408,Lepidoptera,Crambidae,Hellula,Hellula undalis,,Hellula undalis,Hellula undalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,830
52,1889128,Lepidoptera,Crambidae,Ambia,Ambia decoralis,"Snellen, 1900",Ambia decoralis,Ambia decoralis,99,ACCEPTED,EXACT,SPECIES,London06October2023,34
53,1888454,Lepidoptera,Pyralidae,Drosophantis,Drosophantis caeruleata,,Drosophantis caeruleata,Drosophantis caeruleata,99,ACCEPTED,EXACT,SPECIES,London06October2023,56
54,1890067,Lepidoptera,Pyralidae,Musotima,Musotima suffusalis,,Musotima suffusalis,Musotima suffusalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,17
55,10008949,Lepidoptera,Pyralidae,Neomusotima,Neomusotima conspurcatalis,,Neomusotima conspurcatalis,Neomusotima conspurcatalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,19
56,1885745,Lepidoptera,Crambidae,Autocharis,Autocharis amethystina,"Swinhoe, 1894",Autocharis amethystina,Autocharis fessalis,99,SYNONYM,EXACT,SPECIES,London06October2023,50
57,1885763,Lepidoptera,Crambidae,Autocharis,Autocharis hedyphaes,,Autocharis hedyphaes,Autocharis hedyphaes,99,ACCEPTED,EXACT,SPECIES,London06October2023,118
58,1885661,Lepidoptera,Crambidae,Balaenifrons,Balaenifrons ochrochroa,,Balaenifrons ochrochroa,Balaenifrons ochrochroa,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
59,1885671,Lepidoptera,Crambidae,Boeotarcha,Boeotarcha martinalis,,Boeotarcha martinalis,Boeotarcha martinalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
60,1883873,Lepidoptera,Crambidae,Hemiscopis,Hemiscopis sanguinea,,Hemiscopis sanguinea,Hemiscopis sanguinea,99,ACCEPTED,EXACT,SPECIES,London06October2023,52
61,1890031,Lepidoptera,Crambidae,Heortia,Heortia vitessoides,,Heortia vitessoides,Heortia vitessoides,99,ACCEPTED,EXACT,SPECIES,London06October2023,416
62,1886036,Lepidoptera,Crambidae,Pitama,Pitama hermesalis,,Pitama hermesalis,Pitama hermesalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,11
63,1884421,Lepidoptera,Crambidae,Pseudonoorda,Pseudonoorda nigropunctalis,"Hampson, 1899",Pseudonoorda nigropunctalis,Pseudonoorda nigropunctalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
64,1880353,Lepidoptera,Crambidae,Syntonarcha,Syntonarcha iriastis,,Syntonarcha iriastis,Syntonarcha iriastis,99,ACCEPTED,EXACT,SPECIES,London06October2023,285
65,1889578,Lepidoptera,Crambidae,Taurometopa,Taurometopa pyrometalla,,Taurometopa pyrometalla,Taurometopa pyrometalla,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
66,1881336,Lepidoptera,Crambidae,Agrioglypta,Agrioglypta itysalis,"Walker, 1859",Agrioglypta itysalis,Agrioglypta itysalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,288
67,1884902,Lepidoptera,Crambidae,Botyodes,Botyodes caldusalis,"Walker, 1859",Botyodes caldusalis,Botyodes caldusalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
68,1890335,Lepidoptera,Crambidae,Cnaphalocrocis,Cnaphalocrocis poeyalis,"Boisduval, 1833",Cnaphalocrocis poeyalis,Cnaphalocrocis poeyalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,764
