accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1860942,Lepidoptera,Adelidae,Nemophora,Nemophora aurisparsella,,Nemophora aurisparsella,Nemophora aurisparsella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860786,Lepidoptera,Adelidae,Nemophora,Nemophora decisella,"Walker, 1863",Nemophora decisella,Nemophora decisella,99,ACCEPTED,EXACT,SPECIES,London06October2023,20
1830702,Lepidoptera,Attevidae,Atteva,Atteva fabriciella,,Atteva fabriciella,Atteva fabriciella,99,ACCEPTED,EXACT,SPECIES,London06October2023,12
9004359,Lepidoptera,Attevidae,Atteva,Atteva wallengreni,,Atteva wallengreni,Atteva wallengreni,99,ACCEPTED,EXACT,SPECIES,London06October2023,52
11537408,Lepidoptera,Bombycidae,Gunda,Gunda subnotata,"Walker,1859",Gunda subnotata,Gunda subnotata,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1868409,Lepidoptera,Bombycidae,Ocinara,Ocinara albicollis,,Ocinara albicollis,Ocinara albicollis,99,ACCEPTED,EXACT,SPECIES,London06October2023,58
1868499,Lepidoptera,Bombycidae,Penicillifera,Penicillifera apicalis,,Penicillifera apicalis,Penicillifera apicalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,61
4702564,Lepidoptera,Bombycidae,Trilocha,Trilocha varians,"Walker, 1865",Trilocha varians,Trilocha varians,99,ACCEPTED,EXACT,SPECIES,London06October2023,250
6217651,Lepidoptera,Brachodidae,Phycodes,Nigilgia anactis,,Nigilgia anactis,Phycodes limata,99,SYNONYM,EXACT,SPECIES,London06October2023,18
-1,NotAvail,NotAvail,NotAvail,Synechodes rotanicola,,Synechodes rotanicola,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
5141344,Lepidoptera,Callidulidae,Tetragonus,Tetragonus catamitus,"Geyer,1832",Tetragonus catamitus,Tetragonus catamitus,99,ACCEPTED,EXACT,SPECIES,London06October2023,298
11560272,Lepidoptera,Callidulidae,Tetragonus,Tetragonus lycaenoides,,Tetragonus lycaenoides,Tetragonus lycaenoides,99,ACCEPTED,EXACT,SPECIES,London06October2023,24
5123489,Lepidoptera,Choreutidae,Anthophila,Choreutis amethystodes,,Choreutis amethystodes,Anthophila amethystodes,99,SYNONYM,EXACT,SPECIES,London06October2023,135
-1,NotAvail,NotAvail,NotAvail,Choreutis argoxantha,,Choreutis argoxantha,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
5880040,Lepidoptera,Choreutidae,Choreutis,Choreutis basalis,,Choreutis basalis,Choreutis basalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,277
5123523,Lepidoptera,Choreutidae,Anthophila,Choreutis emplecta,,Choreutis emplecta,Anthophila emplecta,99,SYNONYM,EXACT,SPECIES,London06October2023,109
5880041,Lepidoptera,Choreutidae,Choreutis,Choreutis ophiosema,"Lower, 1896",Choreutis ophiosema,Choreutis ophiosema,99,ACCEPTED,EXACT,SPECIES,London06October2023,126
6132546,Lepidoptera,Choreutidae,Choreutis,Choreutis orthogona,"Meyrick, 1886",Choreutis orthogona,Choreutis orthogona,99,ACCEPTED,EXACT,SPECIES,London06October2023,40
10361029,Lepidoptera,Choreutidae,Choreutis,Choreutis periploca,,Choreutis periploca,Choreutis periploca,99,ACCEPTED,EXACT,SPECIES,London06October2023,62
5123419,Lepidoptera,Choreutidae,Choreutis,Choreutis sexfasciella,,Choreutis sexfasciella,Choreutis sexfasciella,99,ACCEPTED,EXACT,SPECIES,London06October2023,99
-1,NotAvail,NotAvail,NotAvail,Choreutis tigroides,,Choreutis tigroides,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
5123485,Lepidoptera,Choreutidae,Anthophila,Choreutis xanthogramma,,Choreutis xanthogramma,Anthophila xanthogramma,99,SYNONYM,EXACT,SPECIES,London06October2023,86
1860261,Lepidoptera,Choreutidae,Saptha,Saptha beryllitis,"Meyrick,1910",Saptha beryllitis,Saptha pretiosa,99,SYNONYM,EXACT,SPECIES,London06October2023,183
1860259,Lepidoptera,Choreutidae,Saptha,Saptha exanthista,"Meyrick,1910",Saptha exanthista,Saptha exanthista,99,ACCEPTED,EXACT,SPECIES,London06October2023,62
9755262,Lepidoptera,Cosmopterigidae,Gisilia,Gisilia thoracista,,Gisilia thoracista,Gisilia thoracista,99,ACCEPTED,EXACT,SPECIES,London06October2023,113
1843490,Lepidoptera,Cosmopterigidae,Labdia,Labdia stibogramma,"Meyrick,1924",Labdia stibogramma,Labdia stibogramma,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1843319,Lepidoptera,Cosmopterigidae,Macrobathra,Macrobathra hedrastis,,Macrobathra hedrastis,Macrobathra hedrastis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
11714817,Lepidoptera,Cossidae,Bergaris,Bergaris lutescens,"Roepke,1957",Bergaris lutescens,Bergaris lutescens,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
10183605,Lepidoptera,Cossidae,Bergaris,Bergaris malayica,,Bergaris malayica,Bergaris malayica,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
8008237,Lepidoptera,Cossidae,Duomitus,Duomitus ceramica,"Walker, 1865",Duomitus ceramica,Duomitus ceramicus,97,ACCEPTED,FUZZY,SPECIES,London06October2023,47
7933193,Lepidoptera,Cossidae,Neurozerra,Neurozerra conferta,,Neurozerra conferta,Neurozerra conferta,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
8332109,Lepidoptera,Cossidae,Panau,Panau adusta,,Panau adusta,Panau adusta,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
9943276,Lepidoptera,Cossidae,Panau,Panau quarlesi,,Panau quarlesi,Panau quarlesi,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
7879559,Lepidoptera,Cossidae,Zeurrora,Zeuzera indica,,Zeuzera indica,Zeurrora indica,99,SYNONYM,EXACT,SPECIES,London06October2023,17
1872359,Lepidoptera,Crambidae,Cataclysta,Cataclysta angulata,"Moore, 1885",Cataclysta angulata,Cataclysta angulata,99,ACCEPTED,EXACT,SPECIES,London06October2023,29
1884132,Lepidoptera,Crambidae,Nymphula,Elophila manilensis,"Hampson, 1917",Elophila manilensis,Nymphula manilensis,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1887538,Lepidoptera,Crambidae,Eristena,Eristena mangalis,,Eristena mangalis,Eristena mangalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1890261,Lepidoptera,Crambidae,Nymphicula,Nymphicula blandialis,,Nymphicula blandialis,Nymphicula blandialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,7
1880482,Lepidoptera,Crambidae,Paracataclysta,Paracataclysta fuscalis,"Hampson, 1893",Paracataclysta fuscalis,Paracataclysta fuscalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,14
1884428,Lepidoptera,Crambidae,Parapoynx,Parapoynx allionealis,,Parapoynx allionealis,Parapoynx allionealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1884441,Lepidoptera,Crambidae,Parapoynx,Parapoynx bilinealis,,Parapoynx bilinealis,Parapoynx bilinealis,99,ACCEPTED,EXACT,SPECIES,London06October2023,25
1884461,Lepidoptera,Crambidae,Parapoynx,Parapoynx crisonalis,,Parapoynx crisonalis,Parapoynx crisonalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,208
1884479,Lepidoptera,Crambidae,Parapoynx,Parapoynx diminutalis,"Snellen,1880",Parapoynx diminutalis,Parapoynx diminutalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,848
1884437,Lepidoptera,Crambidae,Parapoynx,Parapoynx fluctuosalis,,Parapoynx fluctuosalis,Parapoynx fluctuosalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,177
1884449,Lepidoptera,Crambidae,Parapoynx,Parapoynx stagnalis,"Zeller, 1852",Parapoynx stagnalis,Parapoynx stagnalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,202
1884434,Lepidoptera,Crambidae,Parapoynx,Parapoynx villidalis,,Parapoynx villidalis,Parapoynx villidalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,61
1885569,Lepidoptera,Crambidae,Strepsinoma,Strepsinoma croesusalis,,Strepsinoma croesusalis,Strepsinoma croesusalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,87
5127158,Lepidoptera,Crambidae,Symphonia,Symphonia multipictalis,,Symphonia multipictalis,Symphonia multipictalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1890218,Lepidoptera,Crambidae,Calamotropha,Calamotropha obliterans,,Calamotropha obliterans,Calamotropha obliterans,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
