accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1860979,Lepidoptera,Adelidae,Adela,Adela croesella,"Scopoli, 1763",Adela croesella,Adela croesella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860983,Lepidoptera,Adelidae,Adela,Adela cuprella,"Denis & Schiffermüller, 1775",Adela cuprella,Adela cuprella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860987,Lepidoptera,Adelidae,Adela,Adela reaumurella,"Linnaeus, 1758",Adela reaumurella,Adela viridella,99,SYNONYM,EXACT,SPECIES,London06October2023,0
4522891,Lepidoptera,Adelidae,Cauchas,Cauchas fibulella,"Denis & Schiffermüller, 1775",Cauchas fibulella,Cauchas fibulella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522886,Lepidoptera,Adelidae,Cauchas,Cauchas rufimitrella,"Scopoli, 1763",Cauchas rufimitrella,Cauchas rufimitrella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522904,Lepidoptera,Adelidae,Nematopogon,Nematopogon magna,"Zeller, 1878",Nematopogon magna,Nematopogon magna,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522922,Lepidoptera,Adelidae,Nematopogon,Nematopogon metaxella,"Hübner, 1813",Nematopogon metaxella,Nematopogon metaxella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522909,Lepidoptera,Adelidae,Nematopogon,Nematopogon pilella,"Denis & Schiffermüller, 1775",Nematopogon pilella,Nematopogon pilella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522908,Lepidoptera,Adelidae,Nematopogon,Nematopogon schwarziellus,"Zeller, 1839",Nematopogon schwarziellus,Nematopogon schwarziellus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
4522916,Lepidoptera,Adelidae,Nematopogon,Nematopogon swammerdamella,"Linnaeus, 1758",Nematopogon swammerdamella,Nematopogon swammerdamella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860852,Lepidoptera,Adelidae,Nemophora,Nemophora cupriacella,"Hübner, 1819",Nemophora cupriacella,Nemophora cupriacella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860768,Lepidoptera,Adelidae,Nemophora,Nemophora degeerella,"Linnaeus, 1758",Nemophora degeerella,Nemophora degeerella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860765,Lepidoptera,Adelidae,Nemophora,Nemophora fasciella,"Fabricius, 1775",Nemophora fasciella,Nemophora fasciella,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
7767114,Lepidoptera,Adelidae,Nemophora,Nemophora metallica,"Poda, 1761",Nemophora metallica,Nemophora metallica,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
7961640,Lepidoptera,Adelidae,Nemophora,Nemophora minimella,"Denis & Schiffermüller, 1775",Nemophora minimella,Nemophora minimella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
7851302,Lepidoptera,Adelidae,Nemophora,Nemophora ochsenheimerella,"Hübner, 1813",Nemophora ochsenheimerella,Nemophora ochsenheimerella,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1992504,Lepidoptera,Alucitidae,Alucita,Alucita hexadactyla,"Linnaeus, 1758",Alucita hexadactyla,Alucita hexadactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830207,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia abdominalis,"Zeller, 1839",Argyresthia abdominalis,Argyresthia abdominalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830131,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia albistria,"Haworth, 1828",Argyresthia albistria,Argyresthia albistria,98,ACCEPTED,EXACT,SPECIES,London06October2023,0
1830186,Lepidoptera,Argyresthiidae,Argyresthia,Argyresthia arceuthina,"Zeller, 1839",Argyresthia arceuthina,Argyresthia arceuthina,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
