accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
-1,NotAvail,NotAvail,NotAvail,Antaeotricha BioLep43,,Antaeotricha BioLep43,NotAvail,99,NotAvail,NONE,NotAvail,London19Oct2023
1838590,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha caprimulga,,Antaeotricha caprimulga,Antaeotricha caprimulga,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1836756,Lepidoptera,Depressariidae,Stenoma,Antaeotricha cirrhoxantha,,Antaeotricha cirrhoxantha,Stenoma cirrhoxantha,99,SYNONYM,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha disjecta,,Antaeotricha disjecta,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1838364,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha fascicularis,,Antaeotricha fascicularis,Antaeotricha fascicularis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha forreri,,Antaeotricha forreri,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1838468,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha ianthina,,Antaeotricha ianthina,Antaeotricha ianthina,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838378,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha incrassata,,Antaeotricha incrassata,Antaeotricha incrassata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838575,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha isoporphyra,,Antaeotricha isoporphyra,Antaeotricha isoporphyra,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838616,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha marmorea,,Antaeotricha marmorea,Antaeotricha marmorea,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838473,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha nictitans,,Antaeotricha nictitans,Antaeotricha nictitans,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838383,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha ocellifer,,Antaeotricha ocellifer,Antaeotricha ocellifer,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha osa,,Antaeotricha osa,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
10363459,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha phaeoneura,,Antaeotricha phaeoneura,Antaeotricha phaeoneura,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha pratifera,,Antaeotricha pratifera,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1838522,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha radicalis,,Antaeotricha radicalis,Antaeotricha radicalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838422,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha renselariana,,Antaeotricha renselariana,Antaeotricha renselariana,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838375,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha ribbei,,Antaeotricha ribbei,Antaeotricha ribbei,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1838506,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha similis,,Antaeotricha similis,Antaeotricha similis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.01,,Antaeotricha sp.01,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.02,,Antaeotricha sp.02,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.03,,Antaeotricha sp.03,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.04,,Antaeotricha sp.04,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.05,,Antaeotricha sp.05,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.06,,Antaeotricha sp.06,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.07,,Antaeotricha sp.07,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Antaeotricha sp.08,,Antaeotricha sp.08,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
