accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1860989,Lepidoptera,Adelidae,Adela,Adela ridingsella,,Adela ridingsella,Adela ridingsella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Adela stenoptera,,Adela stenoptera,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1751932,Lepidoptera,Aididae,Aidos,Aidos amanda,,Aidos amanda,Aidos amanda,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1751930,Lepidoptera,Aididae,Aidos,Aidos perfusa,,Aidos perfusa,Aidos perfusa,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1992397,Lepidoptera,Alucitidae,Alucita,Alucita mulciber,,Alucita mulciber,Alucita mulciber,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868687,Lepidoptera,Apatelodidae,Drepatelodes,Drepatelodes tanais,,Drepatelodes tanais,Drepatelodes tanais,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868689,Lepidoptera,Apatelodidae,Drepatelodes,Drepatelodes umbrilinea,,Drepatelodes umbrilinea,Drepatelodes umbrillinea,97,ACCEPTED,FUZZY,SPECIES,London03Nov2023
12209221,Lepidoptera,Apatelodidae,Pantelodes,Pantelodes centralamericana,,Pantelodes centralamericana,Pantelodes centralamericana,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868622,Lepidoptera,Apatelodidae,Hygrochroa,Pantelodes satellittia,,Pantelodes satellittia,Hygrochroa satellitia,96,SYNONYM,FUZZY,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Prothysana felderi,,Prothysana felderi,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1868360,Lepidoptera,Bombycidae,Anticla,Anticla antica,,Anticla antica,Anticla antica,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Apatelodes adrastia,,Apatelodes adrastia,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
10423760,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes albipunctata,,Apatelodes albipunctata,Apatelodes albipunctata,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
10504421,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes ardeola,,Apatelodes ardeola,Apatelodes ardeola,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
8502531,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes cirna,,Apatelodes cirna,Apatelodes cirna,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
11962185,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes erotina,,Apatelodes erotina,Apatelodes erotina,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
1868575,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes firmiana,,Apatelodes firmiana,Hygrochroa firmiana,99,SYNONYM,EXACT,SPECIES,London03Nov2023
10366495,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes inviolata,,Apatelodes inviolata,Apatelodes inviolata,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
9632493,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes lapitha,,Apatelodes lapitha,Apatelodes lapitha,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
10121531,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes merlona,,Apatelodes merlona,Apatelodes merlona,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Apatelodes palma,,Apatelodes palma,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
9402822,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes pandara,,Apatelodes pandara,Apatelodes pandara,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
9556943,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes pandarioides,,Apatelodes pandarioides,Apatelodes pandarioides,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
11982744,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes paratima,,Apatelodes paratima,Apatelodes paratima,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
10517417,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes pudefacta,,Apatelodes pudefacta,Apatelodes pudefacta,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
10460325,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes tuisa,,Apatelodes tuisa,Apatelodes tuisa,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
10855646,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes turrialba,,Apatelodes turrialba,Apatelodes turrialba,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
9347147,Lepidoptera,Apatelodidae,Colabata,Ephoria lybia,,Ephoria lybia,Ephoria lybia,98,DOUBTFUL,EXACT,SPECIES,London03Nov2023
1868545,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera amoria,,Olceclostera amoria,Olceclostera amoria,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868547,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera avangareza,,Olceclostera avangareza,Olceclostera avangareza,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868539,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera azteca,,Olceclostera azteca,Olceclostera azteca,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868548,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera bifenestrata,,Olceclostera bifenestrata,Olceclostera bifenestrata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868559,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera brama,,Olceclostera brama,Olceclostera brama,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868551,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera indentata,,Olceclostera indentata,Olceclostera indentata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1868533,Lepidoptera,Apatelodidae,Olceclostera,Olceclostera irrorata,,Olceclostera irrorata,Olceclostera irrorata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
