Family,Genus,Species,Subspecies,species_name_provided,authority_name_provided
Adelidae,Adela,ridingsella,,Adela ridingsella ,
Adelidae,Adela,stenoptera,,Adela stenoptera ,
Aididae,Aidos,amanda,,Aidos amanda ,
Aididae,Aidos,perfusa,admiranda,Aidos perfusa admiranda,
Alucitidae,Alucita,mulciber,,Alucita mulciber ,
Apatelodidae,Drepatelodes,tanais,,Drepatelodes tanais ,
Apatelodidae,Drepatelodes,umbrilinea,,Drepatelodes umbrilinea ,
Apatelodidae,Pantelodes,centralamericana,,Pantelodes centralamericana ,
Apatelodidae,Pantelodes,satellittia,,Pantelodes satellittia ,
Apatelodidae,Prothysana,felderi,,Prothysana felderi ,
Apatelodidae,Anticla,antica,,Anticla antica ,
Apatelodidae,Apatelodes,adrastia,,Apatelodes adrastia ,
Apatelodidae,Apatelodes,albipunctata,,Apatelodes albipunctata ,
Apatelodidae,Apatelodes,ardeola,,Apatelodes ardeola ,
Apatelodidae,Apatelodes,cirna,,Apatelodes cirna ,
Apatelodidae,Apatelodes,erotina,,Apatelodes erotina ,
Apatelodidae,Apatelodes,firmiana,,Apatelodes firmiana ,
Apatelodidae,Apatelodes,inviolata,,Apatelodes inviolata ,
Apatelodidae,Apatelodes,lapitha,,Apatelodes lapitha ,
Apatelodidae,Apatelodes,merlona,,Apatelodes merlona ,
Apatelodidae,Apatelodes,palma,,Apatelodes palma ,
Apatelodidae,Apatelodes,pandara,,Apatelodes pandara ,
Apatelodidae,Apatelodes,pandarioides,,Apatelodes pandarioides ,
Apatelodidae,Apatelodes,paratima,,Apatelodes paratima ,
Apatelodidae,Apatelodes,pudefacta,,Apatelodes pudefacta ,
Apatelodidae,Apatelodes,tuisa,,Apatelodes tuisa ,
Apatelodidae,Apatelodes,turrialba,,Apatelodes turrialba ,
Apatelodidae,Ephoria,lybia,,Ephoria lybia ,
Apatelodidae,Olceclostera,amoria,,Olceclostera amoria ,
Apatelodidae,Olceclostera,avangareza,,Olceclostera avangareza ,
Apatelodidae,Olceclostera,azteca,,Olceclostera azteca ,
Apatelodidae,Olceclostera,bifenestrata,,Olceclostera bifenestrata ,
Apatelodidae,Olceclostera,brama,,Olceclostera brama ,
Apatelodidae,Olceclostera,indentata,,Olceclostera indentata ,
Apatelodidae,Olceclostera,irrorata,,Olceclostera irrorata ,
Apatelodidae,Olceclostera,magniplaga,,Olceclostera magniplaga ,
Apatelodidae,Olceclostera,nigripuncta,,Olceclostera nigripuncta ,
Apatelodidae,Olceclostera,reperta,,Olceclostera reperta ,
Apatelodidae,Zanola,elongata,,Zanola elongata ,
Apatelodidae,Zanola,fieldi,,Zanola fieldi ,
Apatelodidae,Zanola,verago,,Zanola verago ,
Erebidae / Arctiinae,Agaraea,boettgeri,,Agaraea boettgeri ,
Erebidae / Arctiinae,Agaraea,inconspicua,,Agaraea inconspicua ,
Erebidae / Arctiinae,Agaraea,longicornis,,Agaraea longicornis ,
Erebidae / Arctiinae,Agaraea,minuta,,Agaraea minuta ,
Erebidae / Arctiinae,Agaraea,schausi,,Agaraea schausi ,
Erebidae / Arctiinae,Agaraea,semivitrea,,Agaraea semivitrea ,
Erebidae / Arctiinae,Amastus,aconia,rumina,Amastus aconia rumina,
Erebidae / Arctiinae,Amastus,episcotosia,,Amastus episcotosia ,
Erebidae / Arctiinae,Amastus,flavicauda,,Amastus flavicauda ,
Erebidae / Arctiinae,Amastus,rothschildi,,Amastus rothschildi ,
Erebidae / Arctiinae,Amastus,suffusa,,Amastus suffusa ,
Erebidae / Arctiinae,Amaxia,alejandraloriae,,Amaxia alejandraloriae ,
Erebidae / Arctiinae,Amaxia,apyga,,Amaxia apyga ,
Erebidae / Arctiinae,Amaxia,bella,,Amaxia bella ,
Erebidae / Arctiinae,Amaxia,brendacasperae,,Amaxia brendacasperae ,
Erebidae / Arctiinae,Amaxia,carinosa,,Amaxia carinosa ,
Erebidae / Arctiinae,Amaxia,chaon,,Amaxia chaon ,
Erebidae / Arctiinae,Amaxia,consistens,,Amaxia consistens ,
Erebidae / Arctiinae,Amaxia,costaricensis,,Amaxia costaricensis ,
Erebidae / Arctiinae,Amaxia,josealfredohernandezi,,Amaxia josealfredohernandezi ,
Erebidae / Arctiinae,Amaxia,lepida,,Amaxia lepida ,
Erebidae / Arctiinae,Amaxia,osmophora (Complex),,Amaxia osmophora (Complex) ,
Erebidae / Arctiinae,Amaxia,pandama,,Amaxia pandama ,
Erebidae / Arctiinae,Amaxia,pyga,,Amaxia pyga ,
Erebidae / Arctiinae,Amaxia,rocioecheverriae,,Amaxia rocioecheverriae ,
Erebidae / Arctiinae,Ammalo,helops,,Ammalo helops ,
Erebidae / Arctiinae,Amphelarctia,priscilla,,Amphelarctia priscilla ,
Erebidae / Arctiinae,Apantesis,proxima,,Apantesis proxima ,
Erebidae / Arctiinae,Apyre,separata,,Apyre separata ,
Erebidae / Arctiinae,Araeomolis,rhodographa,,Araeomolis rhodographa ,
Erebidae / Arctiinae,Arctiarpia,mossi,,Arctiarpia mossi ,
Erebidae / Arctiinae,Astralarctia,canalis,,Astralarctia canalis ,
Erebidae / Arctiinae,Baritius,angelagonzalezae,,Baritius angelagonzalezae ,
Erebidae / Arctiinae,Baritius,eleuthera,,Baritius eleuthera ,
Erebidae / Arctiinae,Baritius,eleutheroides,,Baritius eleutheroides ,
Erebidae / Arctiinae,Baritius,grandis,,Baritius grandis ,
Erebidae / Arctiinae,Baritius,maribellealvarezae,,Baritius maribellealvarezae ,
Erebidae / Arctiinae,Baritius,martajimenezae,,Baritius martajimenezae ,
Erebidae / Arctiinae,Baritius,sannionis,,Baritius sannionis ,
Erebidae / Arctiinae,Bernathonomus,aureopuncta,,Bernathonomus aureopuncta ,
Erebidae / Arctiinae,Bernathonomus,piperita,,Bernathonomus piperita ,
Erebidae / Arctiinae,Bertholdia,albipuncta,,Bertholdia albipuncta ,
Erebidae / Arctiinae,Bertholdia,crocea,,Bertholdia crocea ,
Erebidae / Arctiinae,Bertholdia,fumida,,Bertholdia fumida ,
Erebidae / Arctiinae,Bertholdia,myosticta,,Bertholdia myosticta ,
