,Family,Genus,Species,Subspecies
1,Adelidae,Adela,ridingsella,
2,Adelidae,Adela,stenoptera,
3,Aididae,Aidos,amanda,
4,Aididae,Aidos,perfusa,admiranda
5,Alucitidae,Alucita,mulciber,
6,Apatelodidae,Drepatelodes,tanais,
7,Apatelodidae,Drepatelodes,umbrilinea,
8,Apatelodidae,Pantelodes,centralamericana,
9,Apatelodidae,Pantelodes,satellittia,
10,Apatelodidae,Prothysana,felderi,
11,Apatelodidae,Anticla,antica,
12,Apatelodidae,Apatelodes,adrastia,
13,Apatelodidae,Apatelodes,albipunctata,
14,Apatelodidae,Apatelodes,ardeola,
15,Apatelodidae,Apatelodes,cirna,
16,Apatelodidae,Apatelodes,erotina,
17,Apatelodidae,Apatelodes,firmiana,
18,Apatelodidae,Apatelodes,inviolata,
19,Apatelodidae,Apatelodes,lapitha,
20,Apatelodidae,Apatelodes,merlona,
21,Apatelodidae,Apatelodes,palma,
22,Apatelodidae,Apatelodes,pandara,
23,Apatelodidae,Apatelodes,pandarioides,
24,Apatelodidae,Apatelodes,paratima,
25,Apatelodidae,Apatelodes,pudefacta,
26,Apatelodidae,Apatelodes,tuisa,
27,Apatelodidae,Apatelodes,turrialba,
28,Apatelodidae,Ephoria,lybia,
29,Apatelodidae,Olceclostera,amoria,
30,Apatelodidae,Olceclostera,avangareza,
31,Apatelodidae,Olceclostera,azteca,
32,Apatelodidae,Olceclostera,bifenestrata,
33,Apatelodidae,Olceclostera,brama,
34,Apatelodidae,Olceclostera,indentata,
35,Apatelodidae,Olceclostera,irrorata,
36,Apatelodidae,Olceclostera,magniplaga,
37,Apatelodidae,Olceclostera,nigripuncta,
38,Apatelodidae,Olceclostera,reperta,
39,Apatelodidae,Zanola,elongata,
40,Apatelodidae,Zanola,fieldi,
41,Apatelodidae,Zanola,verago,
42,Erebidae / Arctiinae,Agaraea,boettgeri,
43,Erebidae / Arctiinae,Agaraea,inconspicua,
44,Erebidae / Arctiinae,Agaraea,longicornis,
45,Erebidae / Arctiinae,Agaraea,minuta,
46,Erebidae / Arctiinae,Agaraea,schausi,
47,Erebidae / Arctiinae,Agaraea,semivitrea,
48,Erebidae / Arctiinae,Amastus,aconia,rumina
49,Erebidae / Arctiinae,Amastus,episcotosia,
50,Erebidae / Arctiinae,Amastus,flavicauda,
51,Erebidae / Arctiinae,Amastus,rothschildi,
52,Erebidae / Arctiinae,Amastus,suffusa,
53,Erebidae / Arctiinae,Amaxia,alejandraloriae,
54,Erebidae / Arctiinae,Amaxia,apyga,
55,Erebidae / Arctiinae,Amaxia,bella,
56,Erebidae / Arctiinae,Amaxia,brendacasperae,
57,Erebidae / Arctiinae,Amaxia,carinosa,
58,Erebidae / Arctiinae,Amaxia,chaon,
59,Erebidae / Arctiinae,Amaxia,consistens,
60,Erebidae / Arctiinae,Amaxia,costaricensis,
61,Erebidae / Arctiinae,Amaxia,josealfredohernandezi,
62,Erebidae / Arctiinae,Amaxia,lepida,
63,Erebidae / Arctiinae,Amaxia,osmophora (Complex),
64,Erebidae / Arctiinae,Amaxia,pandama,
65,Erebidae / Arctiinae,Amaxia,pyga,
66,Erebidae / Arctiinae,Amaxia,rocioecheverriae,
67,Erebidae / Arctiinae,Ammalo,helops,
68,Erebidae / Arctiinae,Amphelarctia,priscilla,
69,Erebidae / Arctiinae,Apantesis,proxima,
70,Erebidae / Arctiinae,Apyre,separata,
71,Erebidae / Arctiinae,Araeomolis,rhodographa,
72,Erebidae / Arctiinae,Arctiarpia,mossi,
73,Erebidae / Arctiinae,Astralarctia,canalis,
74,Erebidae / Arctiinae,Baritius,angelagonzalezae,
75,Erebidae / Arctiinae,Baritius,eleuthera,
76,Erebidae / Arctiinae,Baritius,eleutheroides,
77,Erebidae / Arctiinae,Baritius,grandis,
78,Erebidae / Arctiinae,Baritius,maribellealvarezae,
79,Erebidae / Arctiinae,Baritius,martajimenezae,
80,Erebidae / Arctiinae,Baritius,sannionis,
81,Erebidae / Arctiinae,Bernathonomus,aureopuncta,
82,Erebidae / Arctiinae,Bernathonomus,piperita,
83,Erebidae / Arctiinae,Bertholdia,albipuncta,
84,Erebidae / Arctiinae,Bertholdia,crocea,
85,Erebidae / Arctiinae,Bertholdia,fumida,
86,Erebidae / Arctiinae,Bertholdia,myosticta,
87,Erebidae / Arctiinae,Bertholdia,philotera,
88,Erebidae / Arctiinae,Bertholdia,specularis,
89,Erebidae / Arctiinae,Bertholdia,trigona,
90,Erebidae / Arctiinae,Bertholdia,yashoquintela,
91,Erebidae / Arctiinae,Biturix,pellucida,
92,Erebidae / Arctiinae,Biturix,venosata,
93,Erebidae / Arctiinae,Calidota,obscurata,
94,Erebidae / Arctiinae,Carales,astur,
95,Erebidae / Arctiinae,Carathis,septentrionalis,
96,Erebidae / Arctiinae,Castrica,phalaenoides,
97,Erebidae / Arctiinae,Cercopimorpha,sylva,
98,Erebidae / Arctiinae,Chlorhoda,metaleuca,
99,Erebidae / Arctiinae,Cissura,decora,
100,Erebidae / Arctiinae,Cissura,plumbea,
101,Erebidae / Arctiinae,Coiffaitarctia,steniptera,
102,Erebidae / Arctiinae,Cratoplastis,diluta,
103,Erebidae / Arctiinae,Cresera,annulata,
104,Erebidae / Arctiinae,Cyanarctia,flavinigra,
105,Erebidae / Arctiinae,Echeta,excavata,
106,Erebidae / Arctiinae,Elysius,aurantiacus,
107,Erebidae / Arctiinae,Elysius,conjunctus,
108,Erebidae / Arctiinae,Elysius,conspersus,
109,Erebidae / Arctiinae,Elysius,disciplaga,
110,Erebidae / Arctiinae,Elysius,melanoplaga,
111,Erebidae / Arctiinae,Elysius,polystrigata,
112,Erebidae / Arctiinae,Elysius,proba,
113,Erebidae / Arctiinae,Elysius,superba,
114,Erebidae / Arctiinae,Elysius,thrailkilli,
115,Erebidae / Arctiinae,Emurena,quinquepunctata,
116,Erebidae / Arctiinae,Emurena,tripunctata,
117,Erebidae / Arctiinae,Estigmene,acrea,mexicana
118,Erebidae / Arctiinae,Estigmene,albida,
119,Erebidae / Arctiinae,Eupseudosoma,aberrans,
120,Erebidae / Arctiinae,Eupseudosoma,involuta,
121,Erebidae / Arctiinae,Evius,cochenouri,
122,Erebidae / Arctiinae,Evius,hippia,
123,Erebidae / Arctiinae,Glaucostola,guttipalpis,
124,Erebidae / Arctiinae,Glaucostola,romula,
125,Erebidae / Arctiinae,Gorgonidia,buckleyi,
126,Erebidae / Arctiinae,Gorgonidia,helenae,
127,Erebidae / Arctiinae,Graphea,marmorea,
128,Erebidae / Arctiinae,Haemanota,haemabasis,
129,Erebidae / Arctiinae,Haemaphlebiella,venata,
130,Erebidae / Arctiinae,Halysidota,atra,
131,Erebidae / Arctiinae,Halysidota,donahuei,
132,Erebidae / Arctiinae,Halysidota,fuliginosa,
133,Erebidae / Arctiinae,Halysidota,fumosa,
134,Erebidae / Arctiinae,Halysidota,intensa,
135,Erebidae / Arctiinae,Halysidota,interlineata,
136,Erebidae / Arctiinae,Halysidota,orientalis,
137,Erebidae / Arctiinae,Halysidota,pectenella,
138,Erebidae / Arctiinae,Halysidota,schausi,
139,Erebidae / Arctiinae,Halysidota,semibrunnea,
140,Erebidae / Arctiinae,Halysidota,underwoodi,
141,Erebidae / Arctiinae,Hemihyalea,cornea,
142,Erebidae / Arctiinae,Hiera,gyge,
