accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1860942,Lepidoptera,Adelidae,Nemophora,Nemophora aurisparsella,Nemophora aurisparsella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1860786,Lepidoptera,Adelidae,Nemophora,Nemophora decisella,Nemophora decisella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1830702,Lepidoptera,Attevidae,Atteva,Atteva fabriciella,Atteva fabriciella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
9004359,Lepidoptera,Attevidae,Atteva,Atteva wallengreni,Atteva wallengreni,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11537408,Lepidoptera,Bombycidae,Gunda,Gunda subnotata,Gunda subnotata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1868409,Lepidoptera,Bombycidae,Ocinara,Ocinara albicollis,Ocinara albicollis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1868499,Lepidoptera,Bombycidae,Penicillifera,Penicillifera apicalis,Penicillifera apicalis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
4702564,Lepidoptera,Bombycidae,Trilocha,Trilocha varians,Trilocha varians,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6217651,Lepidoptera,Brachodidae,Phycodes,Nigilgia anactis,Phycodes limata,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Synechodes rotanicola,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
5141344,Lepidoptera,Callidulidae,Tetragonus,Tetragonus catamitus,Tetragonus catamitus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11560272,Lepidoptera,Callidulidae,Tetragonus,Tetragonus lycaenoides,Tetragonus lycaenoides,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123489,Lepidoptera,Choreutidae,Anthophila,Choreutis amethystodes,Anthophila amethystodes,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Choreutis argoxantha,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
5880040,Lepidoptera,Choreutidae,Choreutis,Choreutis basalis,Choreutis basalis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123523,Lepidoptera,Choreutidae,Anthophila,Choreutis emplecta,Anthophila emplecta,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
5880041,Lepidoptera,Choreutidae,Choreutis,Choreutis ophiosema,Choreutis ophiosema,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6132546,Lepidoptera,Choreutidae,Choreutis,Choreutis orthogona,Choreutis orthogona,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
10361029,Lepidoptera,Choreutidae,Choreutis,Choreutis periploca,Choreutis periploca,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123419,Lepidoptera,Choreutidae,Choreutis,Choreutis sexfasciella,Choreutis sexfasciella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Choreutis tigroides,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
5123485,Lepidoptera,Choreutidae,Anthophila,Choreutis xanthogramma,Anthophila xanthogramma,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
1860261,Lepidoptera,Choreutidae,Saptha,Saptha beryllitis,Saptha pretiosa,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
1860259,Lepidoptera,Choreutidae,Saptha,Saptha exanthista,Saptha exanthista,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
9755262,Lepidoptera,Cosmopterigidae,Gisilia,Gisilia thoracista,Gisilia thoracista,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1843490,Lepidoptera,Cosmopterigidae,Labdia,Labdia stibogramma,Labdia stibogramma,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1843319,Lepidoptera,Cosmopterigidae,Macrobathra,Macrobathra hedrastis,Macrobathra hedrastis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11714817,Lepidoptera,Cossidae,Bergaris,Bergaris lutescens,Bergaris lutescens,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
10183605,Lepidoptera,Cossidae,Bergaris,Bergaris malayica,Bergaris malayica,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
8008237,Lepidoptera,Cossidae,Duomitus,Duomitus ceramica,Duomitus ceramicus,97,ACCEPTED,FUZZY,SPECIES,Tbilisi04October2023
7933193,Lepidoptera,Cossidae,Neurozerra,Neurozerra conferta,Neurozerra conferta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
8332109,Lepidoptera,Cossidae,Panau,Panau adusta,Panau adusta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
9943276,Lepidoptera,Cossidae,Panau,Panau quarlesi,Panau quarlesi,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
7879559,Lepidoptera,Cossidae,Zeurrora,Zeuzera indica,Zeurrora indica,99,SYNONYM,EXACT,SPECIES,Tbilisi04October2023
