"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Adelidae","Adela croesella","(Scopoli, 1763)","Small Barred Long-horn","NHMSYS0000500990","NHMSYS0000500990","NBNORG0000057290"
"Adelidae","Adela cuprella","([Denis & Schiffermüller], 1775)","Early Long-horn","NHMSYS0021142163","NHMSYS0021142163","NBNORG0000057291"
"Adelidae","Adela reaumurella","(Linnaeus, 1758)","Green Long-horn","NBNSYS0100001422","NBNSYS0100001422","NBNORG0000041031"
"Adelidae","Cauchas fibulella","([Denis & Schiffermüller], 1775)","Little Long-horn","NHMSYS0021142166","NHMSYS0021142166","NBNORG0000057292"
"Adelidae","Cauchas rufimitrella","(Scopoli, 1763)","Meadow Long-horn","NHMSYS0021142167","NHMSYS0021142167","NBNORG0000057293"
"Adelidae","Nematopogon magna","(Zeller, 1878)","Scarce Long-horn","NBNSYS0100004197","NBNSYS0100004197","NBNORG0000042599"
"Adelidae","Nematopogon metaxella","(Hübner, [1813])","Buff Long-horn","NHMSYS0021142170","NHMSYS0021142170","NBNORG0000058557"
"Adelidae","Nematopogon pilella","([Denis & Schiffermüller], 1775)","Pale Brown Long-horn","NHMSYS0021142168","NHMSYS0021142168","NBNORG0000058558"
"Adelidae","Nematopogon schwarziellus","Zeller, 1839","Sandy Long-horn","NHMSYS0000503349","NHMSYS0000503349","NBNORG0000058559"
"Adelidae","Nematopogon swammerdamella","(Linnaeus, 1758)","Large Long-horn","NHMSYS0000503350","NHMSYS0000503350","NBNORG0000058560"
"Adelidae","Nemophora cupriacella","(Hübner, [1819])","Coppery Long-horn","NHMSYS0021142160","NHMSYS0021142160","NBNORG0000058563"
"Adelidae","Nemophora degeerella","(Linnaeus, 1758)","Yellow-barred Long-horn","NHMSYS0000503358","NHMSYS0000503358","NBNORG0000058564"
"Adelidae","Nemophora fasciella","(Fabricius, 1775)","Horehound Long-horn","NHMSYS0000503359","NHMSYS0000503359","NBNORG0000058565"
"Adelidae","Nemophora metallica","(Poda, 1761)","Brassy Long-horn","NHMSYS0000503360","NHMSYS0000503360","NBNORG0000058566"
"Adelidae","Nemophora minimella","([Denis & Schiffermüller], 1775)","Small Long-horn","NHMSYS0021142161","NHMSYS0021142161","NBNORG0000058567"
"Adelidae","Nemophora ochsenheimerella","(Hübner, 1813)",NULL,"NHMSYS0021495950","NHMSYS0021495950","NBNORG0000133253"
"Alucitidae","Alucita hexadactyla","Linnaeus, 1758","Twenty-plume Moth","NHMSYS0000501204","NHMSYS0000501204","NBNORG0000057425"
"Argyresthiidae","Argyresthia abdominalis","Zeller, 1839","Downland Argent","NHMSYS0000501358","NHMSYS0000501358","NBNORG0000057511"
"Argyresthiidae","Argyresthia albistria","(Haworth, 1828)","Purple Argent","NHMSYS0000501359","NHMSYS0000501359","NBNORG0000057512"
"Argyresthiidae","Argyresthia arceuthina","Zeller, 1839","Bronze Argent","NHMSYS0000501360","NHMSYS0000501360","NBNORG0000057513"
"Argyresthiidae","Argyresthia aurulentella","Stainton, 1849","Gold Juniper Argent","NHMSYS0000501362","NHMSYS0000501362","NBNORG0000057514"
"Argyresthiidae","Argyresthia bonnetella","(Linnaeus, 1758)","Hawthorn Argent","NBNSYS0100001640","NBNSYS0100001640","NBNORG0000041147"
"Argyresthiidae","Argyresthia brockeella","(Hübner, [1813])","Gold-ribbon Argent","NHMSYS0021142503","NHMSYS0021142503","NBNORG0000057515"
"Argyresthiidae","Argyresthia conjugella","Zeller, 1839","Apple Fruit Moth","NHMSYS0000501364","NHMSYS0000501364","NBNORG0000057516"
"Argyresthiidae","Argyresthia cupressella","Walsingham, 1890","Cypress Tip Moth","NBNSYS0100001643","NBNSYS0100001643","NBNORG0000041149"
"Argyresthiidae","Argyresthia curvella","(Linnaeus, 1761)","Brindled Argent","NHMSYS0000501370","NHMSYS0000501370","NBNORG0000057518"
"Argyresthiidae","Argyresthia dilectella","Zeller, 1847","Juniper Argent","NHMSYS0000501371","NHMSYS0000501371","NBNORG0000057519"
"Argyresthiidae","Argyresthia glabratella","(Zeller, 1847)","Spruce Argent","NHMSYS0000501373","NHMSYS0000501373","NBNORG0000057520"
"Argyresthiidae","Argyresthia glaucinella","Zeller, 1839","Oak-bark Argent","NHMSYS0000501374","NHMSYS0000501374","NBNORG0000057521"
"Argyresthiidae","Argyresthia goedartella","(Linnaeus, 1758)","Golden Argent","NHMSYS0000501375","NHMSYS0000501375","NBNORG0000057522"
"Argyresthiidae","Argyresthia illuminatella","Zeller, 1839","Glossy Argent","NHMSYS0000501377","NHMSYS0000501377","NBNORG0000057523"
"Argyresthiidae","Argyresthia ivella","(Haworth, 1828)","Gold-four Argent","NHMSYS0000501378","NHMSYS0000501378","NBNORG0000057524"
"Argyresthiidae","Argyresthia laevigatella","Herrich-Schäffer, 1855","Larch-boring Argent","NHMSYS0021142497","NHMSYS0021142497","NBNORG0000057525"
"Argyresthiidae","Argyresthia praecocella","Zeller, 1839","Ochreous Argent","NHMSYS0000501382","NHMSYS0000501382","NBNORG0000057526"
"Argyresthiidae","Argyresthia pruniella","(Clerck, 1759)","Cherry Fruit Moth","NHMSYS0000501383","NHMSYS0000501383","NBNORG0000057527"
"Argyresthiidae","Argyresthia pygmaeella","([Denis & Schiffermüller], 1775)","Sallow Argent","NHMSYS0021142505","NHMSYS0021142505","NBNORG0000057528"
"Argyresthiidae","Argyresthia retinella","Zeller, 1839","Netted Argent","NHMSYS0000501385","NHMSYS0000501385","NBNORG0000057529"
"Argyresthiidae","Argyresthia semifusca","(Haworth, 1828)","Brown Rowan Argent","NHMSYS0000501387","NHMSYS0000501387","NBNORG0000057530"
"Argyresthiidae","Argyresthia semitestacella","(Curtis, 1833)","Large Beech Argent","NHMSYS0000501388","NHMSYS0000501388","NBNORG0000057531"
"Argyresthiidae","Argyresthia sorbiella","(Treitschke, 1833)","Gold Rowan Argent","NHMSYS0000501389","NHMSYS0000501389","NBNORG0000057532"
"Argyresthiidae","Argyresthia spinosella","Stainton, 1849","Blackthorn Argent","NBNSYS0100001647","NBNSYS0100001647","NBNORG0000041150"
"Argyresthiidae","Argyresthia trifasciata","Staudinger, 1871","Triple-barred Argent","NHMSYS0000501391","NHMSYS0000501391","NBNORG0000057533"
"Autostichidae","Oegoconia caradjai","Popescu-Gorj & Căpuşe, 1965","Straw Obscure","NHMSYS0021142528","NHMSYS0021142528","NBNORG0000058609"
"Autostichidae","Oegoconia deauratella","(Herrich-Schäffer, 1854)","Scarce Obscure","NHMSYS0000503460","NHMSYS0000503460","NBNORG0000058610"
"Autostichidae","Oegoconia novimundi","(Busck, 1915)",NULL,"NHMSYS0021166469","NHMSYS0021166469","NBNORG0000122539"
"Autostichidae","Oegoconia quadripuncta","(Haworth, 1828)","Four-spotted Obscure","NHMSYS0000503461","NHMSYS0000503461","NBNORG0000058611"
"Autostichidae","Symmoca signatella","Herrich-Schäffer, 1854","Dockland Obscure","NHMSYS0000504417","NHMSYS0000504417","NBNORG0000059094"
"Batrachedridae","Batrachedra confusella","(Berggren et al, 2022)",NULL,"NHMSYS0021590147","NHMSYS0021590147","NBNORG0000133983"
"Batrachedridae","Batrachedra parvulipunctella","Chrétien, 1915","Reed Cosmet","NBNSYS0100001915","NBNSYS0100001915","NBNORG0000041194"
"Batrachedridae","Batrachedra pinicolella","(Zeller, 1839)","Pine Cosmet","NHMSYS0000501456","NHMSYS0000501456","NBNORG0000057563"
"Batrachedridae","Batrachedra praeangusta","(Haworth, 1828)","Poplar Cosmet","NHMSYS0000501457","NHMSYS0000501457","NBNORG0000057564"
"Bedelliidae","Bedellia somnulentella","(Zeller, 1847)","Bindweed Bent-wing","NHMSYS0000501461","NHMSYS0000501461","NBNORG0000057565"
"Blastobasidae","Auximobasis normalis","Meyrick, 1918","Liverpool Dowd","NHMSYS0000501432","NHMSYS0000501432","NBNORG0000057553"
"Blastobasidae","Blastobasis adustella","Walsingham, 1894","Furness Dowd","NHMSYS0020326904","NHMSYS0020326904","NBNORG0000095894"
"Blastobasidae","Blastobasis lacticolella","Rebel, 1940","Wakely's Dowd","NHMSYS0020676097","NHMSYS0020676097","NBNORG0000099339"
"Blastobasidae","Blastobasis maroccanella","Amsel, 1952",NULL,"NHMSYS0021158224","NHMSYS0021158224","NBNORG0000117491"
"Blastobasidae","Blastobasis phycidella","(Zeller, 1839)","Hampshire Dowd","NHMSYS0000501496","NHMSYS0000501496","NBNORG0000057577"
"Blastobasidae","Blastobasis rebeli","Karsholt & Sinev, 2004",NULL,"NHMSYS0021142871","NHMSYS0021142871","NBNORG0000117198"
"Blastobasidae","Blastobasis vittata","(Wollaston, 1858)",NULL,"NHMSYS0021142870","NHMSYS0021142870","NBNORG0000117197"
"Blastobasidae","Blastobasis wolffi","Karsholt & Sinev, 2004","Marsh Dowd","NHMSYS0020508126","NHMSYS0020508126","NBNORG0000097452"
"Blastobasidae","Hypatopa binotella","(Thunberg, 1794)",NULL,"NHMSYS0021142873","NHMSYS0021142873","NBNORG0000117200"
